low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,transd_mcc,trans_days_interval_filter,trans_days_interval,regional_mobility,student_feature,repayment_capability,is_high_user,number_of_trans_from_2011,first_transaction_time,historical_trans_amount,historical_trans_day,rank_trad_1_month,trans_amount_3_month,avg_consume_less_12_valid_month,abs,top_trans_count_last_1_month,avg_price_last_12_month,avg_price_top_last_12_valid_month,reg_preference_for_trad,trans_top_time_last_1_month,trans_top_time_last_6_month,consume_top_time_last_1_month,consume_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,status,first_transaction_day,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,loans_latest_day
0.03,0.97,1000,2.98,0.88,0.255,14.0,38.0,18.0,3.0,1.0012121212121212,30,0,15.0,20161020.0,59770,97.0,0.65,9550,8.0,3040,0.15,880,0.45,2.0,0.0,38.0,0.0,56.0,0.0,1.0,3.0,3.0,0.0,820,10.0,0.0,0,0,0.0,1,578.0,82.0,662.0,77.0,11.0,7.0,2.0,15.0,5.0,9.0,10.0,664.0,73.0,31.0,28.0,0.0,13.0,3.0,10.0,3.0,3.0,9.0,26.0,6.0,2.0,1.0,359.0,2400.0,72.0,10.0,11.0,4700.0,2320.0,9000.0,81.0,3.0,3.0,13200.0,6900.0,14.0,9.0
0.0,1.0,0,0.85,1.0,0.436,18.0,27.0,16.0,3.0,1.0012121212121212,16120,0,16.0,20161123.0,236400,183.0,0.2,32840,7.0,2360,0.15,1320,0.45,1.0,9.0,17.0,9.0,17.0,1.0,1.0,3.0,6.0,428425.0,3510,5.0,0.0,0,15040,0.0,1,544.0,87.0,558.0,72.0,18.0,7.0,7.0,27.0,6.0,7.0,12.0,497.0,74.0,53.0,46.0,4.0,24.0,7.0,17.0,0.0,2.0,28.0,58.0,20.0,1.0,1.0,359.0,1800.0,73.0,17.0,18.0,4100.0,1541.0,7700.0,75.0,7.0,7.0,13200.0,6785.0,7.0,53.0
0.13,0.71,0,3.59,0.64,0.41600000000000004,19.0,22.0,17.0,4.0,1.0012121212121212,4950,0,49.0,20111027.0,272150,224.0,0.2,32300,7.0,4270,0.05,520,0.7,3.0,9.0,9.0,9.0,9.0,33.0,3.0,7.0,7.0,172.0,2750,27.0,0.0,0,11750,0.0,0,2398.0,82.0,503.0,75.0,15.0,6.0,3.0,20.0,4.0,12.0,13.0,475.0,76.0,51.0,44.0,4.0,15.0,7.0,8.0,4.0,7.0,17.0,65.0,16.0,4.0,5.0,349.0,1800.0,74.0,8.0,10.0,2300.0,1387.0,7900.0,79.0,7.0,8.0,14400.0,4914.0,11.0,1.0
0.01,0.72,500,3.28,0.94,0.461,26.0,17.0,16.0,4.0,1.0,27870,0,15.0,20161117.0,465620,173.0,0.25,68280,6.0,1560,0.2,2420,0.3,1.0,9.0,9.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,3910,4.0,0.0,0,74510,0.0,0,550.0,83.0,545.0,76.0,9.0,4.0,3.0,13.0,5.0,11.0,11.0,512.0,71.0,29.0,27.0,1.0,12.0,5.0,7.0,0.0,1.0,8.0,43.0,3.0,1.0,0.0,360.0,3800.0,71.0,7.0,7.0,8500.0,2557.0,7400.0,73.0,5.0,7.0,14400.0,7320.0,9.0,59.0
0.02,0.9,5000,1.4,0.5,0.35700000000000004,20.0,31.0,17.0,2.0,1.0,13690,0,18.0,20150324.0,115360,132.0,0.4,23240,7.0,490,0.2,1180,0.6,1.0,8.0,31.0,8.0,31.0,0.0,1.0,5.0,5.0,0.0,1300,4.0,1.0,0,16870,0.0,0,1154.0,86.0,546.0,80.0,11.0,4.0,2.0,15.0,6.0,13.0,13.0,513.0,78.0,37.0,28.0,2.0,11.0,5.0,6.0,3.0,6.0,11.0,38.0,15.0,1.0,4.0,349.0,2100.0,76.0,6.0,7.0,2400.0,1916.0,10700.0,80.0,5.0,6.0,25800.0,11040.0,23.0,8.0
0.09,0.91,3000,0.68,0.65,0.212,12.0,33.0,95.0,3.0,1.0012121212121212,12360,0,11.0,20161025.0,14140,55.0,0.8,5970,5.0,7770,1.0,590,0.7,3.0,0.0,23.0,0.0,23.0,0.0,3.0,3.0,3.0,0.0,330,3.0,0.0,330,7430,0.0,0,573.0,87.0,624.0,73.0,5.0,4.0,1.0,11.0,0.0,7.0,11.0,620.0,79.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,15.0,2.0,4.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,5300.0,80.0,2.0,3.0,7200.0,4800.0,53.0,65.0
0.03,0.97,0,2.44,0.75,0.361,21.0,13.0,9.0,3.0,1.0012121212121212,13900,0,24.0,20150702.0,173180,169.0,0.3,28930,6.0,690,0.05,770,0.6,1.0,5.0,13.0,5.0,13.0,0.0,7.0,7.0,9.0,149.0,2040,21.0,0.0,1990,20180,0.0,1,1054.0,83.0,528.0,80.0,4.0,1.0,2.0,5.0,0.0,0.0,1.0,490.0,74.0,38.0,31.0,2.0,9.0,3.0,6.0,0.0,2.0,13.0,36.0,14.0,0.0,0.0,359.0,1800.0,73.0,6.0,6.0,2200.0,1550.0,9600.0,78.0,3.0,3.0,10800.0,7800.0,130.0,57.0
0.0,1.0,500,0.78,0.58,0.133,14.0,28.0,28.0,1.0,1.0,10760,0,19.0,20150622.0,76330,66.0,0.8,10400,5.0,960,1.0,1170,0.5,1.0,14.0,18.0,0.0,31.0,0.0,0.0,1.0,3.0,0.0,390,3.0,0.0,390,780,0.0,0,1064.0,89.0,526.0,76.0,7.0,5.0,2.0,8.0,3.0,6.0,7.0,481.0,76.0,12.0,9.0,1.0,7.0,1.0,6.0,0.0,0.0,3.0,10.0,4.0,0.0,0.0,354.0,2700.0,76.0,6.0,7.0,3600.0,1783.0,1000.0,80.0,1.0,1.0,1000.0,1000.0,15.0,154.0
0.02,0.94,4000,0.77,0.96,0.816,23.0,6.0,6.0,3.0,1.0,29890,0,47.0,20140213.0,829130,596.0,0.2,106000,6.0,18330,0.05,980,0.6,1.0,6.0,6.0,6.0,6.0,0.0,6.0,24.0,24.0,95255.0,3330,12.0,0.0,0,40490,0.0,1,1558.0,82.0,532.0,77.0,32.0,18.0,8.0,55.0,26.0,43.0,49.0,448.0,75.0,122.0,99.0,9.0,29.0,9.0,20.0,0.0,10.0,57.0,127.0,49.0,0.0,1.0,357.0,2200.0,74.0,20.0,21.0,4900.0,1890.0,4600.0,78.0,9.0,10.0,18600.0,5688.0,1.0,39.0
0.03,0.97,14000,1.32,0.85,0.239,17.0,16.0,57.0,4.0,1.0,12140,0,17.0,20160705.0,42740,92.0,0.8,8120,5.0,5710,0.65,740,0.7,3.0,4.0,16.0,4.0,30.0,0.0,1.0,3.0,8.0,0.0,270,6.0,0.0,370,810,0.0,1,685.0,87.0,532.0,76.0,13.0,7.0,4.0,14.0,9.0,9.0,10.0,493.0,74.0,18.0,12.0,1.0,6.0,2.0,4.0,0.0,0.0,7.0,21.0,11.0,0.0,0.0,299.0,1600.0,70.0,4.0,5.0,2300.0,1500.0,8400.0,85.0,2.0,2.0,8400.0,8400.0,8.0,150.0
0.02,0.98,1000,1.14,1.0,0.27699999999999997,14.0,29.0,24.0,2.0,1.0,6350,0,19.0,20160808.0,146640,147.0,0.65,39250,7.0,1180,0.65,1210,0.5,1.0,0.0,16.0,0.0,16.0,0.0,0.0,2.0,2.0,110.0,850,5.0,0.0,0,0,0.0,0,651.0,99.0,651.0,80.0,8.0,4.0,4.0,10.0,2.0,5.0,8.0,625.0,77.0,39.0,36.0,0.0,14.0,7.0,7.0,2.0,2.0,16.0,39.0,11.0,2.0,0.0,351.0,2100.0,76.0,7.0,8.0,4100.0,2000.0,6200.0,79.0,7.0,8.0,8400.0,6557.0,24.0,6.0
0.01,0.99,200,0.22,0.83,0.42700000000000005,21.0,16.0,15.0,3.0,1.0012121212121212,13000,0,25.0,20150906.0,178530,205.0,0.5,10930,7.0,2010,0.4,970,0.55,1.0,11.0,16.0,19.0,19.0,0.0,3.0,3.0,3.0,0.0,1120,6.0,0.0,0,4320,0.0,0,988.0,85.0,538.0,74.0,12.0,3.0,8.0,12.0,1.0,6.0,8.0,496.0,76.0,18.0,14.0,2.0,12.0,5.0,7.0,0.0,1.0,4.0,17.0,15.0,1.0,0.0,356.0,2000.0,76.0,7.0,9.0,2900.0,1785.0,3800.0,81.0,5.0,6.0,8400.0,2520.0,20.0,82.0
0.06,0.94,1300,1.02,0.74,0.23,16.0,31.0,50.0,3.0,1.0012121212121212,5390,0,17.0,20160331.0,34570,92.0,1.0,1620,6.0,2990,1.0,430,0.75,3.0,0.0,31.0,0.0,39.0,0.0,2.0,4.0,7.0,0.0,0,2.0,0.0,0,0,0.0,1,781.0,114.0,525.0,76.0,18.0,10.0,6.0,24.0,9.0,10.0,14.0,498.0,73.0,11.0,8.0,1.0,5.0,0.0,5.0,0.0,2.0,4.0,16.0,5.0,0.0,0.0,318.0,1500.0,73.0,5.0,5.0,2000.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,57.0
0.06,0.94,0,0.74,1.0,0.213,13.0,22.0,18.0,2.0,1.0012121212121212,12240,0,10.0,20170523.0,49720,64.0,0.5,10470,6.0,1660,0.4,620,0.65,3.0,18.0,18.0,18.0,18.0,0.0,1.0,1.0,1.0,0.0,1530,4.0,0.0,110,4630,0.0,0,363.0,86.0,648.0,73.0,11.0,3.0,7.0,18.0,0.0,1.0,9.0,616.0,72.0,10.0,10.0,0.0,8.0,4.0,4.0,1.0,1.0,8.0,11.0,1.0,1.0,0.0,334.0,1000.0,69.0,4.0,4.0,1200.0,950.0,4600.0,73.0,4.0,4.0,8400.0,4200.0,61.0,1.0
0.05,0.95,2000,2.39,1.0,0.207,12.0,27.0,22.0,2.0,1.0,8900,0,14.0,20161015.0,27590,79.0,1.0,0,5.0,1110,1.0,680,0.65,1.0,0.0,27.0,0.0,27.0,0.0,0.0,5.0,5.0,0.0,0,2.0,0.0,0,1680,0.0,0,583.0,175.0,519.0,73.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,483.0,76.0,10.0,5.0,3.0,3.0,1.0,2.0,0.0,0.0,3.0,6.0,24.0,0.0,0.0,353.0,1200.0,71.0,2.0,2.0,1200.0,850.0,10200.0,85.0,1.0,1.0,10200.0,10200.0,18.0,156.0
0.0,0.4,32000,0.28,0.83,0.513,19.0,12.0,12.0,3.0,1.0,117810,0,40.0,20140306.0,962780,280.0,0.05,270600,7.0,59270,0.05,3560,0.25,1.0,5.0,12.0,7.0,12.0,0.0,0.0,9.0,9.0,18.0,31570,9.0,0.0,91500,405380,0.0,0,1537.0,82.0,551.0,75.0,9.0,4.0,5.0,13.0,1.0,3.0,6.0,523.0,68.0,28.0,28.0,1.0,8.0,3.0,5.0,1.0,3.0,14.0,37.0,7.0,1.0,0.0,360.0,3500.0,64.0,5.0,5.0,4900.0,2260.0,8600.0,82.0,3.0,4.0,12600.0,6900.0,22.0,24.0
0.0,1.0,0,0.17,1.0,0.175,15.0,29.0,27.0,2.0,1.0012121212121212,18280,0,18.0,20160825.0,126700,77.0,1.0,9510,7.0,270,1.0,1980,0.45,1.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0,2.0,0.0,0,15960,0.0,0,634.0,136.0,620.0,82.0,5.0,2.0,1.0,7.0,2.0,4.0,4.0,594.0,75.0,12.0,12.0,0.0,3.0,1.0,2.0,0.0,0.0,4.0,11.0,2.0,0.0,0.0,320.0,3900.0,74.0,2.0,2.0,4900.0,3200.0,3600.0,78.0,1.0,1.0,3600.0,3600.0,24.0,104.0
0.05,0.95,0,1.27,0.79,0.33,18.0,15.0,14.0,4.0,1.0012121212121212,8810,0,52.0,20120926.0,116560,224.0,0.7,12400,7.0,850,0.3,820,0.6,1.0,5.0,15.0,12.0,15.0,0.0,2.0,3.0,3.0,0.0,350,4.0,0.0,0,1520,0.0,1,2063.0,82.0,536.0,75.0,4.0,2.0,2.0,5.0,0.0,2.0,4.0,505.0,76.0,23.0,20.0,1.0,10.0,5.0,5.0,0.0,1.0,9.0,30.0,6.0,0.0,0.0,358.0,2500.0,74.0,5.0,5.0,3300.0,2240.0,4100.0,82.0,5.0,6.0,7800.0,3280.0,45.0,69.0
0.01,0.98,0,0.83,0.67,0.609,21.0,11.0,11.0,3.0,1.0012121212121212,32170,0,20.0,20150910.0,553920,213.0,0.15,130290,6.0,12470,0.05,1300,0.45,1.0,5.0,7.0,5.0,7.0,2.0,2.0,4.0,12.0,110242.0,3950,12.0,0.0,3250,46820,0.0,0,984.0,84.0,529.0,81.0,20.0,10.0,6.0,36.0,10.0,21.0,27.0,490.0,77.0,97.0,86.0,4.0,30.0,12.0,18.0,0.0,5.0,34.0,116.0,39.0,3.0,0.0,352.0,2300.0,77.0,18.0,20.0,4200.0,2066.0,18700.0,78.0,12.0,12.0,44400.0,13175.0,1.0,55.0
0.02,0.98,1900,2.45,0.73,0.213,18.0,32.0,32.0,2.0,1.0,13420,0,16.0,20160527.0,74230,86.0,0.25,9480,8.0,2090,0.05,690,0.65,1.0,3.0,32.0,3.0,32.0,1.0,1.0,2.0,2.0,0.0,3390,9.0,0.0,0,6790,0.0,0,724.0,93.0,608.0,78.0,8.0,4.0,2.0,10.0,1.0,2.0,4.0,586.0,76.0,19.0,18.0,0.0,7.0,2.0,5.0,0.0,0.0,1.0,31.0,3.0,0.0,0.0,354.0,1400.0,76.0,5.0,6.0,1900.0,1340.0,13600.0,76.0,2.0,2.0,19200.0,13200.0,2.0,181.0
0.03,0.97,0,0.52,0.86,0.33299999999999996,15.0,27.0,20.0,2.0,1.0012121212121212,20100,0,18.0,20160614.0,197830,136.0,0.15,87030,8.0,8350,0.05,990,0.55,1.0,4.0,27.0,4.0,27.0,3.0,2.0,12.0,12.0,1332.0,3600,8.0,0.0,510,4780,0.0,0,706.0,82.0,585.0,75.0,20.0,10.0,7.0,41.0,5.0,16.0,31.0,558.0,75.0,72.0,62.0,6.0,26.0,7.0,19.0,2.0,7.0,42.0,91.0,25.0,2.0,2.0,337.0,1800.0,75.0,19.0,21.0,3800.0,1426.0,5200.0,77.0,7.0,8.0,7200.0,4000.0,1.0,5.0
0.01,0.99,17000,0.03,0.97,0.638,21.0,11.0,8.0,3.0,1.0,15080,0,35.0,20150331.0,507770,330.0,0.2,72930,7.0,9700,0.05,980,0.55,1.0,11.0,11.0,11.0,11.0,2.0,1.0,18.0,18.0,16040.0,2280,24.0,0.0,1600,18990,0.0,0,1147.0,82.0,544.0,81.0,14.0,7.0,5.0,24.0,6.0,12.0,16.0,510.0,77.0,65.0,63.0,1.0,18.0,11.0,7.0,1.0,6.0,27.0,81.0,11.0,3.0,0.0,356.0,1600.0,77.0,7.0,8.0,2100.0,1585.0,13600.0,77.0,11.0,12.0,21600.0,9063.0,2.0,29.0
0.03,0.97,2000,0.76,1.0,0.39399999999999996,16.0,16.0,14.0,2.0,1.0012121212121212,23460,0,26.0,20160123.0,179130,219.0,0.4,26750,7.0,2950,0.05,940,0.55,1.0,12.0,16.0,16.0,16.0,0.0,1.0,3.0,3.0,168.0,1010,4.0,0.0,0,31550,0.0,0,849.0,82.0,545.0,75.0,21.0,12.0,6.0,27.0,8.0,18.0,20.0,511.0,75.0,38.0,37.0,1.0,11.0,3.0,8.0,1.0,2.0,7.0,52.0,10.0,2.0,2.0,356.0,2700.0,74.0,8.0,8.0,4200.0,2312.0,13300.0,77.0,3.0,3.0,15600.0,7133.0,22.0,8.0
0.01,0.99,11000,0.38,1.0,0.34700000000000003,22.0,18.0,22.0,3.0,1.0012121212121212,9260,0,18.0,20160913.0,131060,163.0,0.3,22540,6.0,5600,0.05,930,0.5,3.0,13.0,18.0,14.0,25.0,2.0,4.0,7.0,7.0,22.0,3060,6.0,0.0,1930,3930,0.0,0,615.0,84.0,534.0,74.0,5.0,3.0,2.0,5.0,0.0,1.0,2.0,490.0,81.0,19.0,11.0,8.0,10.0,3.0,7.0,0.0,0.0,1.0,11.0,23.0,0.0,0.0,350.0,2000.0,77.0,7.0,7.0,3000.0,1885.0,5600.0,85.0,3.0,3.0,7800.0,5533.0,37.0,173.0
0.02,0.98,0,5.57,0.95,0.366,19.0,20.0,9.0,4.0,1.0012121212121212,3930,0,20.0,20160606.0,182130,158.0,0.55,14270,6.0,1240,0.2,1040,0.55,1.0,7.0,20.0,7.0,20.0,0.0,2.0,8.0,8.0,1053622.0,810,3.0,0.0,110,14000,0.0,1,714.0,82.0,512.0,76.0,18.0,8.0,9.0,26.0,6.0,9.0,21.0,480.0,77.0,30.0,21.0,6.0,11.0,5.0,6.0,0.0,2.0,13.0,33.0,99.0,0.0,7.0,355.0,2900.0,78.0,6.0,7.0,4500.0,2200.0,2600.0,72.0,5.0,6.0,3000.0,2400.0,8.0,50.0
0.0,0.38,5000,0.3,0.96,0.42200000000000004,22.0,31.0,12.0,3.0,1.0,9420,0,26.0,20151205.0,312240,225.0,0.4,9870,9.0,41870,0.65,4110,0.25,3.0,25.0,31.0,25.0,31.0,0.6492961224993825,2.0,12.0,12.0,2201789.0,2540,2.0,2.0,0,9300,0.0,0,898.0,82.0,672.0,79.0,6.0,1.0,4.0,6.0,1.0,3.0,6.0,672.0,74.0,17.0,12.0,0.0,6.0,5.0,1.0,2.0,9.0,13.0,13.0,7.0,0.0,1.0,319.0,3000.0,70.0,1.0,1.0,3000.0,3000.0,16700.0,75.0,5.0,5.0,34800.0,15780.0,24.0,9.0
0.01,0.67,5000,0.07,0.84,0.611,19.0,23.0,9.0,4.0,1.0012121212121212,8250,0,61.0,20120226.0,563700,341.0,0.1,122930,8.0,133550,0.1,2090,0.35,3.0,8.0,8.0,8.0,16.0,0.0,0.0,2.0,2.0,51360.0,13920,6.0,0.0,16830,86240,0.0,0,2276.0,82.0,657.0,78.0,12.0,5.0,6.0,17.0,3.0,7.0,9.0,638.0,74.0,23.0,21.0,0.0,11.0,6.0,5.0,0.0,2.0,11.0,35.0,5.0,0.0,0.0,355.0,1600.0,72.0,5.0,5.0,2300.0,1420.0,16900.0,74.0,6.0,6.0,26400.0,18450.0,11.0,54.0
